BayID	DeviceID	Description1	Description2	Description3	Description4	Description5	Description6	DisabilityExt1	DisabilityExt2	DisabilityExt3	DisabilityExt4	DisabilityExt5	DisabilityExt6	Duration1	Duration2	Duration3	Duration4	Duration5	Duration6	EffectiveOnPH1	EffectiveOnPH2	EffectiveOnPH3	EffectiveOnPH4	EffectiveOnPH5	EffectiveOnPH6	EndTime1	EndTime2	EndTime3	EndTime4	EndTime5	EndTime6	Exemption1	Exemption2	Exemption3	Exemption4	Exemption5	Exemption6	FromDay1	FromDay2	FromDay3	FromDay4	FromDay5	FromDay6	StartTime1	StartTime2	StartTime3	StartTime4	StartTime5	StartTime6	ToDay1	ToDay2	ToDay3	ToDay4	ToDay5	ToDay6	TypeDesc1	TypeDesc2	TypeDesc3	TypeDesc4	TypeDesc5	TypeDesc6
643	18492	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
644	18493	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
645	18494	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
646	18495	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
647	18496	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
649	18497	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
650	18498	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
651	18500	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
652	18502	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
"2,062"	19229	2P MTR M-SAT 7:30-20:30						240						120						0						20:30:00												1						7:30:00						6						2P Meter					
653	18504	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
654	18506	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
655	18508	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
656	18509	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
657	18510	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
658	18511	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
659	18512	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
660	18513	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
661	18514	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
662	18515	3P MTR M-SAT 7:30-20:30	3P SUN 7:30-18:30					360	360					180	180					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					3P Meter	3P				
